epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,824.151,1.60176,0.78926,0.90187,0.94954,0.90678,0.9385,0.48353,1.69975,0.81006,0.90483,0.000643101,0.000643101,0.000643101
43,843.524,1.60091,0.79284,0.90683,0.9614,0.89288,0.92929,0.48711,1.67502,0.83294,0.90525,0.000628101,0.000628101,0.000628101
44,862.807,1.55235,0.76262,0.89887,0.95595,0.91278,0.94437,0.50078,1.63612,0.80568,0.89405,0.000612981,0.000612981,0.000612981
45,882.134,1.55539,0.76232,0.89284,0.94701,0.9131,0.94533,0.50178,1.63859,0.79455,0.89834,0.000597754,0.000597754,0.000597754
46,901.507,1.54155,0.75519,0.8946,0.94179,0.90568,0.94353,0.501,1.66158,0.78727,0.90036,0.000582435,0.000582435,0.000582435
47,920.722,1.5178,0.74575,0.88846,0.94299,0.91964,0.95159,0.50724,1.63493,0.76075,0.89549,0.00056704,0.00056704,0.00056704
48,939.991,1.5342,0.75697,0.89816,0.95303,0.88988,0.94262,0.50038,1.64405,0.77655,0.89789,0.000551584,0.000551584,0.000551584
49,959.284,1.54979,0.7509,0.88935,0.94774,0.90383,0.93829,0.49564,1.67897,0.77,0.89988,0.000536081,0.000536081,0.000536081
50,978.558,1.52374,0.73778,0.88767,0.96342,0.88666,0.94027,0.49076,1.66788,0.78497,0.89644,0.000520548,0.000520548,0.000520548
51,997.872,1.54919,0.74489,0.88931,0.97197,0.91452,0.95314,0.5039,1.67472,0.76083,0.89639,0.000505,0.000505,0.000505
52,1017.09,1.52288,0.7343,0.88579,0.94274,0.91247,0.94141,0.50634,1.66068,0.77113,0.89821,0.000489452,0.000489452,0.000489452
53,1036.47,1.51087,0.72521,0.88975,0.97806,0.86507,0.94861,0.5052,1.63541,0.82469,0.89259,0.000473919,0.000473919,0.000473919
54,1055.8,1.50865,0.71663,0.88584,0.97227,0.89557,0.95013,0.51413,1.6193,0.7648,0.89424,0.000458416,0.000458416,0.000458416
55,1075.23,1.49477,0.71986,0.88521,0.9664,0.90389,0.95256,0.49926,1.66277,0.78569,0.8981,0.00044296,0.00044296,0.00044296
56,1094.53,1.48105,0.70335,0.88511,0.95987,0.88224,0.93385,0.49959,1.67695,0.80033,0.89604,0.000427565,0.000427565,0.000427565
57,1113.84,1.48648,0.72423,0.87489,0.96395,0.91078,0.94889,0.50716,1.64713,0.76328,0.89227,0.000412246,0.000412246,0.000412246
58,1133.13,1.45736,0.69389,0.87334,0.97648,0.93684,0.96226,0.51155,1.64898,0.7492,0.89067,0.000397019,0.000397019,0.000397019
59,1152.44,1.46596,0.70579,0.87894,0.96251,0.92483,0.95514,0.50385,1.67545,0.75512,0.89568,0.000381899,0.000381899,0.000381899
60,1171.75,1.4463,0.68061,0.87611,0.92485,0.90943,0.94606,0.50829,1.65095,0.78505,0.89423,0.000366899,0.000366899,0.000366899
61,1191.07,1.4456,0.69174,0.87691,0.94973,0.91994,0.94941,0.48421,1.71747,0.76869,0.90335,0.000352037,0.000352037,0.000352037
62,1210.39,1.43547,0.69037,0.88529,0.95429,0.91552,0.95435,0.49509,1.69165,0.74319,0.89936,0.000337325,0.000337325,0.000337325
63,1229.8,1.42357,0.67545,0.87844,0.95973,0.91782,0.95667,0.51505,1.65407,0.73249,0.89521,0.000322778,0.000322778,0.000322778
64,1249.3,1.4417,0.67806,0.87713,0.94501,0.91987,0.94769,0.50634,1.67613,0.74948,0.89663,0.000308412,0.000308412,0.000308412
65,1268.67,1.4411,0.69922,0.88228,0.96064,0.90947,0.95098,0.50766,1.66455,0.74537,0.89375,0.000294239,0.000294239,0.000294239
66,1287.97,1.43839,0.68192,0.88209,0.96744,0.91336,0.94924,0.51542,1.64833,0.74089,0.89157,0.000280275,0.000280275,0.000280275
67,1307.42,1.42627,0.67878,0.86966,0.96833,0.92026,0.95731,0.5104,1.65878,0.74106,0.89327,0.000266532,0.000266532,0.000266532
68,1326.68,1.43916,0.6802,0.87196,0.9584,0.90977,0.94493,0.48433,1.72406,0.76222,0.89924,0.000253024,0.000253024,0.000253024
69,1345.97,1.3834,0.6655,0.87113,0.97418,0.89835,0.95693,0.51946,1.65884,0.75297,0.89163,0.000239766,0.000239766,0.000239766
70,1365.39,1.40056,0.65844,0.88082,0.9726,0.91006,0.95691,0.52033,1.6324,0.76074,0.89368,0.000226769,0.000226769,0.000226769
71,1384.8,1.39344,0.66441,0.86839,0.96575,0.91087,0.95761,0.52314,1.61689,0.72028,0.88857,0.000214046,0.000214046,0.000214046
72,1404.05,1.38735,0.64505,0.86304,0.94802,0.91966,0.95456,0.50814,1.67738,0.73921,0.89702,0.000201611,0.000201611,0.000201611
73,1423.21,1.38374,0.65219,0.87048,0.95586,0.90555,0.9469,0.50958,1.65076,0.75083,0.89289,0.000189475,0.000189475,0.000189475
