epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,417.157,1.65969,0.89519,0.90545,0.95407,0.86234,0.92704,0.46728,1.74091,0.86905,0.90496,0.000643101,0.000643101,0.000643101
43,426.628,1.6558,0.87604,0.90585,0.90646,0.88738,0.92843,0.47271,1.71417,0.86813,0.90064,0.000628101,0.000628101,0.000628101
44,436.313,1.61457,0.84397,0.90131,0.92902,0.88536,0.92412,0.48542,1.7042,0.87833,0.89715,0.000612981,0.000612981,0.000612981
45,445.835,1.62794,0.86166,0.90059,0.93533,0.88319,0.92404,0.48315,1.68789,0.85629,0.89473,0.000597754,0.000597754,0.000597754
46,455.352,1.64204,0.86749,0.90211,0.94399,0.88367,0.92916,0.48305,1.69403,0.86346,0.8998,0.000582435,0.000582435,0.000582435
47,464.827,1.59335,0.84215,0.89631,0.93928,0.88283,0.92286,0.4945,1.67244,0.84892,0.89356,0.00056704,0.00056704,0.00056704
48,474.387,1.60223,0.83672,0.90134,0.94006,0.86445,0.92118,0.48597,1.68178,0.84127,0.89488,0.000551584,0.000551584,0.000551584
49,483.875,1.60081,0.83273,0.89136,0.91067,0.88491,0.91785,0.48493,1.67592,0.85335,0.8919,0.000536081,0.000536081,0.000536081
50,493.395,1.59,0.81138,0.89193,0.93289,0.82951,0.91013,0.46938,1.75079,0.8795,0.89931,0.000520548,0.000520548,0.000520548
51,502.841,1.63912,0.8489,0.89476,0.95545,0.86648,0.92124,0.47958,1.71967,0.83607,0.89642,0.000505,0.000505,0.000505
52,512.42,1.57628,0.81933,0.88719,0.94297,0.8688,0.92392,0.48044,1.69313,0.84282,0.8958,0.000489452,0.000489452,0.000489452
53,521.875,1.5533,0.80186,0.88522,0.96609,0.84892,0.92571,0.49053,1.69219,0.82955,0.8917,0.000473919,0.000473919,0.000473919
54,531.328,1.56216,0.80093,0.88742,0.9458,0.85711,0.92111,0.48834,1.70053,0.83888,0.89635,0.000458416,0.000458416,0.000458416
55,540.782,1.56325,0.80893,0.89015,0.95934,0.89306,0.93415,0.49314,1.68059,0.81387,0.89252,0.00044296,0.00044296,0.00044296
56,550.288,1.53653,0.7886,0.88463,0.95915,0.8805,0.93487,0.49465,1.68984,0.8064,0.89234,0.000427565,0.000427565,0.000427565
57,559.842,1.55467,0.80848,0.87938,0.95723,0.88531,0.93858,0.49074,1.70308,0.80614,0.89473,0.000412246,0.000412246,0.000412246
58,569.307,1.51418,0.76369,0.87389,0.94621,0.89205,0.94343,0.49043,1.68954,0.80725,0.89289,0.000397019,0.000397019,0.000397019
59,578.775,1.54225,0.77657,0.88361,0.9596,0.88206,0.93896,0.4972,1.70013,0.8055,0.8926,0.000381899,0.000381899,0.000381899
60,588.488,1.49878,0.75369,0.87978,0.96445,0.89325,0.93394,0.49403,1.68003,0.79641,0.8938,0.000366899,0.000366899,0.000366899
61,597.934,1.50138,0.75634,0.87868,0.95508,0.8903,0.93475,0.48999,1.70693,0.79087,0.89737,0.000352037,0.000352037,0.000352037
62,607.468,1.50552,0.76905,0.88808,0.94901,0.88605,0.93245,0.47186,1.73257,0.80313,0.89614,0.000337325,0.000337325,0.000337325
63,616.964,1.51761,0.76069,0.88048,0.94875,0.8797,0.93152,0.48533,1.70858,0.80026,0.89244,0.000322778,0.000322778,0.000322778
64,626.459,1.49634,0.7552,0.87592,0.95393,0.87432,0.93328,0.49385,1.70971,0.79904,0.88803,0.000308412,0.000308412,0.000308412
65,635.926,1.49983,0.75999,0.88244,0.96928,0.87144,0.9333,0.50175,1.65804,0.77941,0.88776,0.000294239,0.000294239,0.000294239
66,645.492,1.49879,0.73896,0.88196,0.9428,0.89161,0.93556,0.51129,1.64601,0.7805,0.88525,0.000280275,0.000280275,0.000280275
67,655.195,1.49,0.75306,0.87156,0.93561,0.91788,0.947,0.51215,1.65834,0.76662,0.88605,0.000266532,0.000266532,0.000266532
